stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0005AMB,,Ambassadeur,-1.285963,36.826048,,,1, 
0006BSS,,Bus Station,-1.287191,36.828881,,,1, 
0007COM,,Commercial,-1.284282,36.826188,,,1, 
0512BST,,Bus Station,-1.287281,36.828863,,, ,0006BSS
0512BSN,,Bus Station,-1.287635,36.829215,,, ,0006BSS
0512BSL,,Bus Station,-1.287229,36.829477,,, ,0006BSS
0512CML,,Commercial Imara,-1.284306,36.826257,,, ,0007COM
0512CMC,,Commercial,-1.283947,36.826437,,, ,0007COM
0512AMU,,Ambassadeur,-1.285315,36.825615,,, , 
0512ESC,,Easy Coach/Uchumi,-1.289218,36.828251,,, , 
0512EAS,,Easy Coach/Uchumi,-1.288854,36.828734,,, , 
0001RLW,,Railways Terminus,-1.290884,36.828242,,,1, 
0512RLW,,Railways,-1.290352,36.828268,,, ,0001RLW
0513KWR,,Kware,-1.396812,36.75024,,, , 
0412KNC,,Kencom,-1.28589,36.82429,,, , 
6050GPO,,GPO,-1.28604,36.818211,,, , 
0502AMB,,Ambassadeur,-1.2854,36.825803,,, , 
0501KPU,,Kenya Polytechnic Bus Stop,-1.292001,36.822352,,, , 
0501KBL,,Kobil Haile Selassie,-1.29335,36.820878,,, , 
0501KAB,,Makaburini,-1.29955,36.824716,,, , 
0511NYS,,Nyayo Stadium/Nairobi West Stage,-1.305554,36.825028,,, , 
0501WEB,,West End Bar/Barclays,-1.30734,36.82366,,, , 
0511NWT,,Nairobi West Stage,-1.307386,36.822896,,, , 
0501DSC,,Discount,-1.307496,36.822293,,, , 
0501WEM,,West Mall,-1.30939,36.82225,,, , 
0501MIL,,Miller Estate,-1.31174,36.82004,,, , 
0501CIV,,Civil Servants,-1.31213,36.81927,,, , 
0501MOE,,Moi Educational Centre,-1.31337,36.81898,,, , 
0501KSB,,Kenya Society For The Blind,-1.31425,36.81831,,, , 
0501SPR,,Space Apartments,-1.31397,36.81782,,, , 
0501MAG,,Magharibi/Kogo Star,-1.3137,36.81747,,, , 
0503TMO,,T-Mall,-1.31297,36.81666,,, , 
0501KDO,,Kodi I,-1.307651,36.821316,,, , 
0501KDT,,Kodi Ii,-1.307474,36.820249,,, , 
0501MKS,,Madaraka Shopping Centre,-1.30682,36.81779,,, , 
0501NMD,,Nhc Flats/Madaraka Primary School,-1.30685,36.81659,,, , 
0511SUP,,7Up,-1.30738,36.81491,,, , 
0503STS,,Strathmore/Siwaka,-1.30875,36.81233,,, , 
0500STR,,Strathmore University/Siwaka,-1.30874,36.81251,,, , 
0500SUP,,7Up,-1.30742,36.81474,,, , 
0500MPS,,Madaraka Primary School,-1.30691,36.81627,,, , 
0500MSC,,Madaraka Shopping Centre,-1.30683,36.81867,,, , 
0511MAD,,Madaraka Flyover Stage,-1.307736,36.819463,,, , 
0501TML,,Shell/T-Mall,-1.311067,36.817232,,, , 
0501WIL,,Wilson Airport/Shell,-1.316647,36.813418,,, , 
0501AMR,,Amref,-1.319163,36.810873,,, , 
0501DME,,Dam Estate,-1.322802,36.804624,,, , 
0501UCH,,Carnivore/Uchumi Hyper,-1.323222,36.802134,,, , 
0511LGT,,Lang'Ata,-1.328457,36.789744,,, , 
0511BRK,,Barracks,-1.331919,36.78354,,, , 
0500LGS,,Lang'Ata Road Stage/St. Mary'S H,-1.332642,36.78224,,, , 
0500PCA,,Pcea Junction,-1.33063,36.7805,,, , 
0511OPR,,Nairobi National Park/Orphanage,-1.334299,36.779501,,, , 
0501LGC,,Lang'Ata Cemetery,-1.334967,36.778186,,, , 
0501WCK,,Wck,-1.338157,36.773563,,, , 
0501BMS,,Bomas/Ongata Rongai Junction,-1.343149,36.766709,,, , 
0501NNP,,Nairobi National Park Gate,-1.348156,36.764887,,, , 
0511CUE,,Cuea,-1.352203,36.762892,,, , 
0511TOL,,Acacia/Total,-1.355979,36.762093,,, , 
0501MRG,,Maro Gardens,-1.358862,36.762636,,, , 
0501BDS,,Banda School,-1.365629,36.766651,,, , 
0501MKR,,Mukoma Road,-1.372141,36.76862,,, , 
0511MMU,,Multimedia University,-1.381962,36.770612,,, , 
0501HCC,,Hashi/Visions Of Glory Church,-1.390667,36.766832,,, , 
0501NIB,,Nibs/Ongata Rongai,-1.391825,36.76594,,, , 
0511MSL,,Uchumi/Masai Mall/Ongata Rongai,-1.394366,36.764355,,, , 
0501RNG,,Tumaini/Ongata Rongai,-1.395227,36.763723,,, , 
0511KOB,,Kobil,-1.395939,36.762455,,, , 
0501STM,,St.Mary'S Ccatholic Church,-1.3963,36.761664,,, , 
0501ONM,,Tyme Arcade/Ongata Mall,-1.397174,36.759599,,, , 
0501RNP,,Ongata Police Station/Nyotu,-1.397304,36.756748,,, , 
0501KNL,,Kenol,-1.3972,36.755415,,, , 
0511TUS,,Legend/Tuskys,-1.397014,36.753156,,, , 
0501WMN,,Nairobi Womens,-1.396517,36.746185,,, , 
0501OLR,,Olerai,-1.396351,36.744019,,, , 
0501LSR,,Laiser Hill,-1.39564,36.734614,,, , 
0501EXC,,Exciting,-1.395455,36.731754,,, , 
0501ACA,,Acacia,-1.398809,36.725319,,, , 
0501ADV,,Adventist University,-1.401103,36.722692,,, , 
0501NKO,,Nkoroi White House,-1.404555,36.7175,,, , 
0501PCE,,Kanisani/Pcea,-1.407454,36.714424,,, , 
0501RIM,,Rimpa,-1.418404,36.708186,,, , 
0501NLP,,Nalepo,-1.420524,36.703624,,, , 
0501KSG,,Kiserian Girls/Kwa Maji,-1.423356,36.696028,,, , 
0501KMT,,Kiserian Market,-1.429587,36.685779,,, , 
0501KIS,,Kiserian,-1.429062,36.686887,,, , 
0513TER,,Kiserian Terminus,-1.42964,36.685808,,, , 
0510KSM,,Kiserain Nairobi Bus Stop,-1.429533,36.685794,,, , 
0500KSR,,Kiserian,-1.42973,36.687204,,, , 
0500TRN,,Triangle,-1.426975,36.691508,,, , 
0500KJI,,Kwa Maji,-1.423343,36.695863,,, , 
0500GCG,,Gichagi,-1.425355,36.693466,,, , 
0500KHN,,Kahungo,-1.422616,36.697947,,, , 
0500HSM,,Horse Man,-1.421689,36.700664,,, , 
0500NYT,,Nyati,-1.420839,36.702737,,, , 
0500NLP,,Nalepo,-1.420443,36.703693,,, , 
0500KRT,,Kwa Ratio,-1.420068,36.704601,,, , 
0500MSR,,Mashuria,-1.41932,36.70625,,, , 
0500RMP,,Rimpa,-1.417618,36.709066,,, , 
0500NGA,,Kwa Njenga,-1.414989,36.711049,,, , 
0500KMR,,Kamura,-1.41005,36.712277,,, , 
0500KAN,,Kanisani,-1.407446,36.714446,,, , 
0500FLT,,Flats,-1.405433,36.716555,,, , 
0500WTH,,White House,-1.403785,36.718293,,, , 
0500BRM,,Barabara Mpya,-1.401294,36.72223,,, , 
0500ACA,,Acacia,-1.398926,36.725188,,, , 
0500MGC,,Magacia,-1.395882,36.729181,,, , 
0500EXC,,Exciting,-1.395422,36.731633,,, , 
0500KKM,,Kwa Kimani/Laiser,-1.395561,36.73389,,, , 
0500BPS,,Baptist,-1.39569,36.735542,,, , 
0500CLX,,Caltex,-1.39586,36.737801,,, , 
0500MLN,,Millenium,-1.395977,36.739571,,, , 
0500PLC,,Places,-1.396056,36.740775,,, , 
0500OLR,,Olerai,-1.396309,36.743885,,, , 
0500FTM,,Fatima,-1.396363,36.744656,,, , 
0500NBW,,Nairobi Women,-1.396461,36.74589,,, , 
0510KWR,,Kware,-1.396708,36.74965,,, , 
0510TKY,,Tuskys,-1.396979,36.753322,,, , 
0500NTU,,Nyotu,-1.397259,36.756804,,, , 
0510NST,,Naston,-1.397324,36.758091,,, , 
0500BAR,,Barclays,-1.397279,36.759171,,, , 
0500MGT,,Mbagathi,-1.396507,36.761035,,, , 
0510KOB,,Kobil,-1.395972,36.762187,,, , 
0500RNG,,Rongai,-1.395231,36.763465,,, , 
0510MSL,,Masai Lodge,-1.390278,36.766859,,, , 
0500MMU,,Mmu/Posta,-1.382143,36.770575,,, , 
0510BKM,,Mukoma Road,-1.371589,36.768246,,, , 
0510SBR,,Sembe Road,-1.36835,36.767615,,, , 
0500BDS,,Banda School,-1.365823,36.766645,,, , 
0500CAM,,Cambridge,-1.363635,36.765271,,, , 
0500SWR,,Swara,-1.35927,36.762587,,, , 
0510PKP,,Park Place,-1.356103,36.76206,,, , 
0500CUE,,Cuea/Bogani,-1.352263,36.76287,,, , 
0500CON,,Consolata,-1.346721,36.765356,,, , 
0500BMS,,Bomas,-1.343352,36.766513,,, , 
0500HST,,Hostel,-1.338413,36.773181,,, , 
0500ORP,,Orphanage,-1.33317,36.781317,,, , 
0510BRC,,Lang'Ata Barracks,-1.331629,36.783604,,, , 
0510LGT,,Langata/Mobil,-1.328715,36.788743,,, , 
0501PCA,,Pcea Junction,-1.33044,36.7804,,, , 
0501CHF,,Chiefs,-1.32656,36.78027,,, , 
0511OTD,,Otiende,-1.32339,36.77992,,, , 
0501KND,,Kanga Road,-1.32344,36.77866,,, , 
0501MSQ,,Mosque,-1.32325,36.77734,,, , 
0513LNT,,Terminal,-1.32191,36.77438,,, , 
0510OTD,,Otiende,-1.32347,36.77994,,, , 
0500LNP,,Langata Primary,-1.32497,36.77997,,, , 
0500MBK,,Maboko Road,-1.3299,36.78175,,, , 
0500SPM,,St.Peters Methodist,-1.32759,36.7851,,, , 
0500MUG,,Mugumoini Market,-1.32541,36.78534,,, , 
0500TAC,,Talent Academy,-1.32455,36.78566,,, , 
0510CIV,,Civil Servant Stage,-1.324073,36.785992,,, , 
0500SLE,,Southland Estate,-1.32307,36.78683,,, , 
0500MAS,,Malezi School,-1.32254,36.78869,,, , 
0500PHG,,Phase 4 Gate,-1.32384,36.79001,,, , 
0500EQT,,Equity Bank,-1.32677,36.78961,,, , 
0500OIL,,Oilibya Petrol Station,-1.32719,36.78908,,, , 
0500LHP,,Lang'Ata Hospital,-1.32774,36.78908,,, , 
0510HQS,,Hq/Headquaters,-1.324143,36.797008,,, , 
0510KAS,,Deliverance Church/Kanisani,-1.323677,36.798897,,, , 
0510CAN,,Carnivore/Rafikiz,-1.323061,36.802046,,, , 
0500DMS,,Dam Estate,-1.32263,36.804756,,, , 
0510AMR,,Amref,-1.319403,36.81053,,, , 
0510LGP,,Langata Road Primary School,-1.317562,36.812316,,, , 
0510WIL,,Wilson,-1.315626,36.814272,,, , 
0510TML,,T-Mall,-1.311276,36.816904,,, , 
0510MFL,,Madaraka Flyover,-1.307844,36.819182,,, , 
0510NYS,,Nyayo Stadium,-1.305411,36.824418,,, , 
0511IND,,Industrial Area,-1.298461,36.828025,,, , 
0501INR,,Industrial Area Round About,-1.297876,36.829255,,, , 
0511MCH,,Dunga Road/ Machakos,-1.299774,36.830073,,, , 
0511CNG,,Car & General,-1.303313,36.831886,,, , 
0501BAN,,Bandari,-1.304526,36.832493,,, , 
0501DAR,,Dar-Es-Salaam,-1.305716,36.833025,,, , 
0511MAT,,Mater Hospital,-1.307218,36.833505,,, , 
0511MAK,,Makueni,-1.308527,36.833775,,, , 
0511MER,,Meridian,-1.310739,36.834026,,, , 
0501MKN,,Mariakani,-1.310703,36.835427,,, , 
0501SGC,,South Gate Centre,-1.310699,36.836801,,, , 
0501MQE,,Mosque,-1.311314,36.838391,,, , 
0501RIA,,Kariba Estate,-1.311496,36.840821,,, , 
0501SVK,,St.Veronica Ack,-1.312392,36.842398,,, , 
0501RTI,,Railway Training Institute,-1.313674,36.842114,,, , 
0501SBD,,South B Dispensary,-1.316795,36.84286,,, , 
0501BAL,,Balozi,-1.318073,36.846677,,, , 
0501BLZ,,Balozi,-1.319831,36.848046,,, , 
0501PVW,,Parkview/Winners,-1.320817,36.849409,,, , 
0501DPE,,Diamond Park Estate,-1.319745,36.851265,,, , 
0500DPE,,Diamond Park Estate,-1.319895,36.851233,,, , 
0500WNN,,Winners,-1.320817,36.84928,,, , 
0500BLZ,,Balozi,-1.319938,36.848003,,, , 
0500JCC,,JCC Church,-1.318206,36.846642,,, , 
0501KPT,,Kapiti Junction,-1.310729,36.837755,,, , 
0501MCU,,Mchumbi Road,-1.311592,36.838334,,, , 
0511MCU,,Mchumbi Road,-1.311857,36.838319,,, , 
0511KRU,,Karuku,-1.313484,36.838284,,, , 
0511PLV,,Plains View Primary,-1.315158,36.838304,,, , 
0501GTH,,Githeri Rise,-1.316523,36.838543,,, , 
0501SRI,,Sori,-1.317606,36.83873,,, , 
0501MSA,,Mombasa Road,-1.318342,36.83873,,, , 
0501SNA,,Sana Sana,-1.318786,36.84101,,, , 
0501OLS,,Our Lady Secondary,-1.317707,36.847369,,, , 
0501HAZ,,Hazina Estate,-1.31603,36.848409,,, , 
0503HZM,,South B Mwisho,-1.315186,36.848477,,, , 
0500HZS,,South B Stage,-1.315634,36.848468,,, , 
0500HAZ,,Hazina Estate,-1.316141,36.848465,,, , 
0500OLS,,Our Lady Secondary,-1.31782,36.847343,,, , 
0500BAL,,Balozi,-1.318126,36.846641,,, , 
0500PLV,,Plainsview Phase 5,-1.318531,36.845042,,, , 
0500PVE,,Plainsview Education Point,-1.319592,36.841317,,, , 
0500SNA,,Sana Sana,-1.31882,36.840906,,, , 
0510MSA,,Mombasa Road,-1.318227,36.838593,,, , 
0510KPT,,Kapiti Crescent,-1.313471,36.83826,,, , 
0510MCU,,Mchumbi Road,-1.311661,36.838182,,, , 
0510SMC,,South B Mchumbi Road,-1.311709,36.836589,,, , 
0500VUM,,Vumira House,-1.311478,36.8353,,, , 
0500TAB,,Kanisa Mabati,-1.310757,36.835206,,, , 
0500MAR,,Marmanet House,-1.310343,36.833681,,, , 
0510ARK,,Ark Junction,-1.309252,36.833673,,, , 
0500KOB,,Kobil,-1.307247,36.833344,,, , 
0510VCT,,Mary Immaculate Vct Centre,-1.306512,36.833055,,, , 
0510CNG,,Car & General,-1.303541,36.831838,,, , 
0500MCH,,Machakos Road,-1.300146,36.830092,,, , 
0510NWT,,Nairobi Water,-1.298922,36.829458,,, , 
0500MAT,,Mater Hospital,-1.299133,36.826856,,, , 
0501NYY,,Nyayo,-1.305844,36.827054,,, , 
0511IFC,,The Office,-1.309533,36.828803,,, , 
0511CPC,,Capital Centre,-1.316765,36.833987,,, , 
0511BLV,,Belleview,-1.319354,36.838339,,, , 
0501MRT,,Mombasa Road Turnoff,-1.321916,36.842236,,, , 
0501OIN,,Oilibya/Nema,-1.319809,36.837822,,, , 
0501NEK,,Nema/Mavuno,-1.320611,36.837315,,, , 
0501RCK,,Redcross/Kipi,-1.322266,36.833311,,, , 
0501KRD,,Kirdi/Southend Estate,-1.322499,36.831532,,, , 
0501RCR,,Red Cross,-1.3237,36.833732,,, , 
0501BMH,,Boma Hotel,-1.324381,36.83385,,, , 
0501COI,,College Of Insurance,-1.32574,36.834027,,, , 
0501MDN,,Madina Estate,-1.325505,36.835461,,, , 
0501KAD,,Kenya Assemblies Of God/Dafam Hotel,-1.325595,36.837018,,, , 
0501FRC,,Friends Court,-1.326735,36.837624,,, , 
0501ATH,,Athi House,-1.327344,36.837894,,, , 
0501AMB,,Amboseli Estate,-1.327511,36.839018,,, , 
0503HWY,,Highway Estate,-1.326008,36.840219,,, , 
0500ABL,,Amboseli Estate,-1.327429,36.839051,,, , 
0500AHS,,Athi House,-1.327292,36.83785,,, , 
0500FCT,,Friends Court,-1.326778,36.837615,,, , 
0500DAK,,Dafam Hotel/Kenya Assemblies Of God,-1.325705,36.837034,,, , 
0500MIN,,Madina Estate,-1.325513,36.835581,,, , 
0500COC,,College Of Insurance,-1.325724,36.834001,,, , 
0500GOE,,Garden 1 Estate,-1.325958,36.832582,,, , 
0500AME,,Al-Mukaram Estate,-1.326178,36.831067,,, , 
0500MPF,,Mugoya Phase 4,-1.325135,36.830784,,, , 
0500KLB,,KLB,-1.324394,36.830671,,, , 
0501AKL,,Akila/Akila Police Post,-1.322649,36.830285,,, , 
0503CNA,,Container/New Apostolic Church,-1.322103,36.82881,,, , 
0500MGY,,Mugoya,-1.321518,36.828972,,, , 
0500KME,,Kma Estate,-1.320531,36.829166,,, , 
0500MGA,,Mugoya Phase 1,-1.319535,36.829339,,, , 
0500MOW,,MOW,-1.318489,36.829564,,, , 
0500CIT,,Cid Training School,-1.317071,36.829826,,, , 
0500RRN,,Rumi Road/Ngara Sports Club,-1.316231,36.827854,,, , 
0500SAT,,Shee Ambaji Temple,-1.315905,36.826178,,, , 
0500WAT,,South C Turnoff/Water,-1.315526,36.824171,,, , 
0500MIO,,Madina Shops,-1.31467,36.823189,,, , 
0500SFA,,Southern First Assemblies Of God,-1.31353,36.823518,,, , 
0500MSQ,,Mosque,-1.312593,36.823773,,, , 
0500PCH,,Milele Nairobi Pcea Headquarters,-1.312743,36.824658,,, , 
0500MGH,,Mama Ngina Children'S Home,-1.312983,36.825767,,, , 
0500KSG,,Kenol/South C Gardens,-1.313202,36.826786,,, , 
0500SCS,,South C Shopping Centre,-1.313348,36.827699,,, , 
0511PST,,Park Side Towers,-1.324879,36.847687,,, , 
0511PNR,,Panari,-1.329531,36.855793,,, , 
0501SDG,,Standard Group,-1.330994,36.859842,,, , 
0511SMR,,Sameer,-1.330708,36.863853,,, , 
0501GMS,,GM,-1.329676,36.870983,,, , 
0513IMD,,Imara Daima,-1.3252,36.880808,,, , 
0503MZW,,Maziwa,-1.324799,36.888658,,, , 
0501IMR,,Imara Daima,-1.328381,36.881282,,, , 
0513CAB,,Cabanas,-1.331307,36.888246,,, , 
0511RDA,,Roundabout,-1.323091,36.900837,,, , 
0511NBK,,Nyayo Barracks,-1.312685,36.923157,,, , 
0501BRK,,Baracks,-1.311577,36.925461,,, , 
0511CHN,,China,-1.29351,36.943505,,, , 
0511GSU,,G.S.U,-1.289458,36.949353,,, , 
0511MHG,,Mihang'O,-1.287924,36.951816,,, , 
0511ADP,,A.P,-1.284949,36.956518,,, , 
0511KCF,,Kwa Chief,-1.282876,36.959833,,, , 
0501AMN,,Amani,-1.280458,36.964564,,, , 
0511BND,,Benedicta,-1.278746,36.96798,,, , 
0501KSN,,Kwa Stone,-1.286664,36.973706,,, , 
0511SPM,,Shopping Mall,-1.287374,36.973999,,, , 
0501ELD,,Elshadai,-1.287591,36.979692,,, , 
0513GTR,,Githunguri,-1.286566,36.982478,,, , 
0500ELD,,Elshadai,-1.289385,36.97466,,, , 
0510SKY,,Skyline,-1.284278,36.972475,,, , 
0510AMN,,Amani,-1.280986,36.963754,,, , 
0510ADP,,A.P,-1.285025,36.956587,,, , 
0510GSU,,GSU,-1.289601,36.949425,,, , 
0510BRK,,Barracks,-1.313313,36.923192,,, , 
0510TSK,,Tuskys,-1.317696,36.918819,,, , 
0510AVT,,Aviation,-1.319394,36.907426,,, , 
0510RBT,,Taj Mall Roundabout,-1.324335,36.89936,,, , 
0501TKS,,Tuskys,-1.317235,36.918239,,, , 
0501VIL,,Embakasi Village,-1.312093,36.914539,,, , 
0511GTA,,Gate A,-1.31256,36.909543,,, , 
0501GTA,,Gate A,-1.31193,36.90889,,, , 
0501GTD,,Gate D,-1.308442,36.90956,,, , 
0503PEV,,Posta Embakasi Village,-1.308323,36.911462,,, , 
0500EVP,,Village Police,-1.309972,36.913061,,, , 
0500KEA,,Kemsa,-1.314942,36.916668,,, , 
0500TKS,,Tuskys,-1.31705,36.918138,,, , 
0500RAJ,,Roundabout Jeshi,-1.313294,36.923292,,, , 
0501TFS,,Tuffsteel,-1.337222,36.894932,,, , 
0501APJ,,Airport Junction,-1.344124,36.902578,,, , 
0501NNL,,Nice N Lovely,-1.354464,36.90663,,, , 
0511KAP,,Kapa,-1.363709,36.910514,,, , 
0501NTN,,Nation,-1.372267,36.920297,,, , 
0511NTN,,Nation,-1.373004,36.92116,,, , 
0501MBT,,Mabati,-1.369525,36.917027,,, , 
0511SYK,,Syokimau,-1.379047,36.927758,,, , 
0511ALP,,Allpack,-1.382828,36.931458,,, , 
0501ALP,,Allpack,-1.384911,36.933262,,, , 
0501SYJ,,Tops/Stage Ya Juu,-1.39112,36.937976,,, , 
0511MLL,,Mlolongo,-1.393566,36.939562,,, , 
0501SYC,,Petma/Mlolongo Chini,-1.396349,36.941417,,, , 
0501MJN,,Mjengo,-1.406255,36.94663,,, , 
